Jurisdiction,Acutely Low,Extremely Low,Very Low,Low,Moderate,Above Moderate,Total,Undated Permits,Last Updated
Adelanto,0,0,0,12,1,161,174,0,2026-08-21
Agoura Hills,0,0,46,10,9,275,340,0,2026-08-21
Alameda,0,44,155,44,54,197,494,0,2026-08-21
Alameda County (Unincorporated),0,0,197,205,85,263,750,0,2026-08-21
Albany,0,0,28,17,16,190,251,0,2026-08-21
Alhambra,0,0,21,27,1,663,712,0,2026-08-21
Aliso Viejo,0,0,0,0,1,2,3,0,2026-08-21
Alpine County (Unincorporated),0,0,0,0,2,33,35,0,2026-08-21
Alturas,0,0,0,2,1,1,4,0,2026-08-21
Amador,0,0,0,0,0,4,4,0,2026-08-21
Amador County (Unincorporated),0,2,8,22,74,102,208,0,2026-08-21
American Canyon,0,0,12,7,1,487,507,0,2026-08-21
Anaheim,0,279,440,282,254,2148,3403,0,2026-08-21
Anderson,0,0,0,0,0,99,99,0,2026-08-21
Angels Camp,0,0,0,2,0,20,22,0,2026-08-21
Antioch,0,0,40,37,37,780,894,0,2026-08-21
Apple Valley,0,3,3,6,208,126,346,0,2026-08-21
Arcadia,0,0,26,0,0,830,856,0,2026-08-21
Arcata,0,0,167,91,148,141,547,0,2026-08-21
Arroyo Grande,0,0,0,97,36,41,174,0,2026-08-21
Artesia,0,0,0,0,32,112,144,0,2026-08-21
Arvin,0,0,0,0,5,34,39,0,2026-08-21
Atascadero,0,0,5,108,119,160,392,0,2026-08-21
Atherton,9,16,25,17,12,101,180,0,2026-08-21
Atwater,0,0,0,0,0,15,15,0,2026-08-21
Auburn,0,0,0,0,23,70,93,0,2026-08-21
Avalon,0,0,0,0,0,15,15,0,2026-08-21
Avenal,0,0,0,0,0,6,6,1,2026-08-21
Azusa,0,0,0,1,1,152,154,0,2026-08-21
Bakersfield,0,43,96,148,6,3608,3901,0,2026-08-21
Baldwin Park,0,0,0,91,0,396,487,0,2026-08-21
Banning,0,0,0,0,0,279,279,0,2026-08-21
Barstow,0,0,0,0,0,15,15,0,2026-08-21
Beaumont,0,0,0,0,0,1723,1723,0,2026-08-21
Bell,0,0,0,22,6,25,53,0,2026-08-21
Bell Gardens,0,0,0,0,0,176,176,0,2026-08-21
Bellflower,0,0,0,0,0,313,313,0,2026-08-21
Belmont,0,69,80,98,24,16,287,0,2026-08-21
Belvedere,0,2,16,3,10,5,36,0,2026-08-21
Benicia,0,2,2,2,0,26,32,0,2026-08-21
Berkeley,0,20,206,210,101,1080,1617,0,2026-08-21
Beverly Hills,16,0,11,23,5,264,319,0,2026-08-21
Big Bear Lake,0,0,0,0,0,96,96,0,2026-08-21
Biggs,0,0,0,0,0,0,0,0,2026-08-21
Bishop,0,0,0,1,16,21,38,1,2026-08-21
Blue Lake,0,0,0,0,1,9,10,0,2026-08-21
Blythe,0,0,0,0,3,6,9,0,2026-08-21
Bradbury,0,0,0,0,0,11,11,0,2026-08-21
Brawley,0,0,0,81,32,109,222,0,2026-08-21
Brea,0,38,0,0,1,69,108,0,2026-08-21
Brentwood,0,0,20,20,25,245,310,0,2026-08-21
Brisbane,0,3,6,4,4,3,20,0,2026-08-21
Buellton,0,41,140,45,8,7,241,0,2026-08-21
Buena Park,0,7,80,167,64,181,499,0,2026-08-21
Burbank,90,156,185,438,155,1056,2080,0,2026-08-21
Burlingame,0,0,121,79,39,718,957,0,2026-08-21
Butte County (Unincorporated),0,33,93,0,45,606,777,0,2026-08-21
Calabasas,0,1,20,4,4,107,136,0,2026-08-21
Calaveras County (Unincorporated),0,1,19,35,194,333,582,0,2026-08-21
Calexico,0,10,0,256,54,13,333,0,2026-08-21
California City,0,0,0,51,79,134,264,0,2026-08-21
Calimesa,0,0,0,0,25,33,58,0,2026-08-21
Calipatria,0,0,0,8,4,0,12,0,2026-08-21
Calistoga,0,0,2,2,0,56,60,0,2026-08-21
Camarillo,0,0,57,58,131,618,864,0,2026-08-21
Campbell,0,0,41,44,41,139,265,0,2026-08-21
Canyon Lake,0,0,0,0,0,22,22,0,2026-08-21
Capitola,26,0,14,4,3,14,61,0,2026-08-21
Carlsbad,0,0,64,193,265,924,1446,0,2026-08-21
Carmel,0,0,0,0,0,45,45,0,2026-08-21
Carpinteria,0,1,4,7,0,61,73,0,2026-08-21
Carson,0,0,0,0,0,273,273,0,2026-08-21
Cathedral,0,99,15,42,23,435,614,0,2026-08-21
Ceres,0,0,0,0,0,78,78,0,2026-08-21
Cerritos,0,0,10,0,9,21,40,0,2026-08-21
Chico,0,22,391,152,123,450,1138,0,2026-08-21
Chino,0,0,0,10,26,1821,1857,0,2026-08-21
Chino Hills,0,3,14,23,26,266,332,0,2026-08-21
Chowchilla,0,0,1,84,34,51,170,0,2026-08-21
Chula Vista,0,7,118,377,926,3868,5296,0,2026-08-21
Citrus Heights,0,1,104,232,15,290,642,0,2026-08-21
Claremont,9,40,65,63,26,134,337,0,2026-08-21
Clayton,0,0,2,2,1,6,11,0,2026-08-21
Clearlake,0,0,184,116,8,16,324,0,2026-08-21
Cloverdale,0,0,54,44,3,29,130,0,2026-08-21
Clovis,0,0,13,13,60,1165,1251,0,2026-08-21
Coachella,0,0,78,441,14,455,988,0,2026-08-21
Coalinga,0,0,0,1,0,0,1,0,2026-08-21
Colfax,0,0,0,1,0,1,2,0,2026-08-21
Colma,0,0,0,1,0,0,1,0,2026-08-21
Colton,0,0,0,0,44,159,203,0,2026-08-21
Colusa,0,0,76,22,80,17,195,0,2026-08-21
Colusa County (Unincorporated),0,0,3,16,13,19,51,0,2026-08-21
Commerce,0,0,0,3,2,3,8,0,2026-08-21
Compton,0,0,0,0,0,192,192,0,2026-08-21
Concord,0,41,132,337,51,130,691,0,2026-08-21
Contra Costa County (Unincorporated),0,0,91,131,207,500,929,0,2026-08-21
Corcoran,0,0,0,0,0,67,67,0,2026-08-21
Corning,0,0,0,55,1,0,56,0,2026-08-21
Corona,0,0,52,0,0,1044,1096,0,2026-08-21
Coronado,0,0,0,0,0,198,198,0,2026-08-21
Corte Madera,0,0,9,9,7,3,28,0,2026-08-21
Costa Mesa,0,40,234,182,71,89,616,0,2026-08-21
Cotati,0,0,2,4,1,7,14,0,2026-08-21
Covina,0,17,61,54,190,321,643,0,2026-08-21
Crescent City,0,0,70,90,0,65,225,0,2026-08-21
Cudahy,0,0,140,0,0,118,258,0,2026-08-21
Culver City,0,0,73,1,2,509,585,0,2026-08-21
Cupertino,0,0,41,39,41,133,254,0,2026-08-21
Cypress,0,0,26,8,46,558,638,0,2026-08-21
Daly City,25,16,59,50,36,74,260,0,2026-08-21
Dana Point,0,0,1,14,3,109,127,0,2026-08-21
Danville,0,0,26,26,11,223,286,0,2026-08-21
Davis,0,0,46,2,461,1016,1525,0,2026-08-21
Del Mar,0,0,0,0,60,41,101,0,2026-08-21
Del Norte County (Unincorporated),0,5,18,26,80,109,238,0,2026-08-21
Del Rey Oaks,0,0,0,4,2,2,8,0,2026-08-21
Delano,0,0,0,0,0,232,232,0,2026-08-21
Desert Hot Springs,0,0,0,20,480,215,715,0,2026-08-21
Diamond Bar,17,15,56,87,8,26,209,0,2026-08-21
Dinuba,0,1,4,5,21,161,192,0,2026-08-21
Dixon,0,11,28,140,1,625,805,0,2026-08-21
Dorris,0,0,0,0,0,0,0,0,2026-08-21
Dos Palos,0,0,0,0,0,0,0,0,2026-08-21
Downey,0,22,12,65,6,745,850,0,2026-08-21
Duarte,0,0,13,62,11,311,397,0,2026-08-21
Dublin,0,0,112,41,19,863,1035,0,2026-08-21
Dunsmuir,0,0,0,0,0,1,1,0,2026-08-21
East Palo Alto,0,45,37,98,19,21,220,0,2026-08-21
Eastvale,0,0,10,0,3,906,919,0,2026-08-21
El Cajon,0,0,0,168,151,337,656,0,2026-08-21
El Centro,0,96,129,247,108,38,618,0,2026-08-21
El Cerrito,0,15,90,69,11,62,247,0,2026-08-21
El Dorado County (Unincorporated),0,28,187,221,147,2180,2763,0,2026-08-21
El Monte,0,0,50,46,1,547,644,0,2026-08-21
El Segundo,0,0,0,0,0,118,118,0,2026-08-21
Elk Grove,0,82,302,754,4,4377,5519,0,2026-08-21
Emeryville,0,45,9,39,4,30,127,0,2026-08-21
Encinitas,1,27,108,72,112,1096,1416,0,2026-08-21
Escalon,0,0,0,3,0,1,4,0,2026-08-21
Escondido,35,55,176,271,59,1414,2010,0,2026-08-21
Etna,0,0,0,1,0,0,1,0,2026-08-21
Eureka,6,3,154,115,57,169,504,0,2026-08-21
Exeter,0,0,0,2,0,36,38,0,2026-08-21
Fairfax,0,1,2,20,0,1,24,0,2026-08-21
Fairfield,0,2,42,146,21,866,1077,0,2026-08-21
Farmersville,0,0,1,1,0,3,5,0,2026-08-21
Ferndale,0,0,0,8,11,11,30,0,2026-08-21
Fillmore,0,0,4,3,0,172,179,0,2026-08-21
Firebaugh,0,0,0,7,0,5,12,0,2026-08-21
Folsom,0,29,179,348,812,3473,4841,0,2026-08-21
Fontana,0,0,4,4,0,4213,4221,0,2026-08-21
Fort Bragg,0,0,27,59,72,31,189,0,2026-08-21
Fort Jones,0,0,0,0,1,0,1,0,2026-08-21
Fortuna,0,0,0,9,85,112,206,0,2026-08-21
Foster City,0,0,11,21,5,2,39,0,2026-08-21
Fountain Valley,0,18,117,151,46,373,705,0,2026-08-21
Fowler,0,0,0,1,14,171,186,0,2026-08-21
Fremont,0,50,300,303,119,628,1400,0,2026-08-21
Fresno,0,183,170,153,274,2755,3535,0,2026-08-21
Fresno County (Unincorporated),0,2,6,98,14,177,297,0,2026-08-21
Fullerton,0,34,231,205,78,825,1373,0,2026-08-21
Galt,0,0,0,13,0,812,825,0,2026-08-21
Garden Grove,0,0,13,141,8,1975,2137,0,2026-08-21
Gardena,0,0,7,2,0,975,984,0,2026-08-21
Gilroy,0,0,33,32,31,306,402,0,2026-08-21
Glendale,0,13,243,341,0,1683,2280,0,2026-08-21
Glendora,0,0,1,4,13,274,292,0,2026-08-21
Glenn County (Unincorporated),0,0,0,4,15,26,45,0,2026-08-21
Goleta,10,19,45,119,2,247,442,0,2026-08-21
Gonzales,0,0,0,0,0,22,22,0,2026-08-21
Grand Terrace,0,0,0,0,0,12,12,0,2026-08-21
Grass Valley,0,0,57,53,15,100,225,0,2026-08-21
Greenfield,0,0,0,0,64,14,78,0,2026-08-21
Gridley,0,0,0,0,0,0,0,0,2026-08-21
Grover Beach,0,25,10,60,24,203,322,0,2026-08-21
Guadalupe,0,0,0,0,49,53,102,0,2026-08-21
Gustine,0,0,0,5,0,0,5,0,2026-08-21
Half Moon Bay,0,50,58,22,12,28,170,0,2026-08-21
Hanford,0,5,5,9,147,421,587,0,2026-08-21
Hawaiian Gardens,0,0,0,0,0,74,74,0,2026-08-21
Hawthorne,0,0,0,0,0,202,202,0,2026-08-21
Hayward,0,73,156,175,181,290,875,0,2026-08-21
Healdsburg,0,21,84,77,35,58,275,0,2026-08-21
Hemet,0,0,0,0,113,1454,1567,1,2026-08-21
Hercules,0,0,1,2,1,18,22,0,2026-08-21
Hermosa Beach,0,0,0,0,5,105,110,0,2026-08-21
Hesperia,0,0,0,0,71,1177,1248,0,2026-08-21
Hidden Hills,0,1,10,0,0,44,55,0,2026-08-21
Highland,0,0,85,249,311,189,834,0,2026-08-21
Hillsborough,0,7,45,30,31,45,158,0,2026-08-21
Hollister,0,0,0,5,17,266,288,0,2026-08-21
Holtville,0,44,76,8,1,6,135,0,2026-08-21
Hughson,0,0,0,0,0,0,0,0,2026-08-21
Humboldt County (Unincorporated),0,1,20,47,235,379,682,0,2026-08-21
Huntington Beach,23,20,179,217,103,654,1196,0,2026-08-21
Huntington Park,0,0,0,48,35,0,83,0,2026-08-21
Huron,0,0,0,0,0,1,1,0,2026-08-21
Imperial,0,0,76,120,64,358,618,0,2026-08-21
Imperial Beach,0,0,0,0,0,203,203,0,2026-08-21
Imperial County (Unincorporated),0,0,1,127,67,81,276,0,2026-08-21
Indian Wells,0,1,3,5,10,191,210,0,2026-08-21
Indio,0,0,376,348,0,1354,2078,0,2026-08-21
Industry,0,0,0,0,0,0,0,0,2026-08-21
Inglewood,0,0,14,0,0,633,647,0,2026-08-21
Inyo County (Unincorporated),0,0,0,0,9,58,67,0,2026-08-21
Ione,0,0,0,0,0,130,130,0,2026-08-21
Irvine,0,0,284,69,162,6316,6831,0,2026-08-21
Irwindale,0,0,0,0,0,1,1,0,2026-08-21
